Event Name,Event Type,Duration (hours),Participants,Venue Type,Location,Number of Devices,Avg Power per Device (kW),Energy Usage Hours,Transport Mode,Transport Distance (km),Attendees Using Transport,Meal Type,Number of Meals,Printed Material (kg),Decoration Material (kg),Total Emissions (kg CO2)
Networking,Seminar,29,616,Coworking Space,Berlin,7,0.28,29,Walking,129.62,254,Vegan,616,9.22,11.09,685.04
Atelier,Board Meeting,11,1108,Convention Center,Berlin,24,1.84,11,Car,421.72,233,Vegetarian,1108,17.13,13.48,22600.86
Formation,Networking Event,11,1293,Office,Paris,34,0.6,11,Walking,472.76,410,Mixed,1293,5.16,17.7,3390.42
Corporate Training,Corporate Training,29,108,Office,Dubai,42,0.24,29,Car,345.29,381,Vegan,108,18.05,29.69,27976.29
Conférence,Team Building,2,37,Office,Paris,30,1.64,2,Bicycle,53.39,51,Vegan,37,6.48,16.03,131.22
Trade Show,Trade Show,33,1291,Coworking Space,Berlin,11,0.41,33,Bicycle,279.68,99,Non-Vegetarian,1291,15.27,2.94,4629.34
Networking Event,Board Meeting,24,318,Convention Center,Sydney,9,0.17,24,Car,333.68,485,Vegetarian,318,8.73,22.19,34542.51
Atelier,Trade Show,43,1187,Convention Center,New York,39,1.32,43,Train,460.22,495,Vegetarian,1187,11.06,37.15,12096.1
Séminaire,Trade Show,31,504,Hotel,Sydney,40,0.88,31,Walking,303.75,344,Mixed,504,4.65,28.67,1872.24
Atelier,Conference,44,25,Hotel,Sydney,6,0.89,44,Car,60.34,497,Mixed,25,5.44,41.9,6572.35
Board Meeting,Board Meeting,42,1623,Convention Center,Paris,5,0.77,42,Walking,289.37,243,Vegetarian,1623,8.76,22.03,2576.93
Fundraiser,Seminar,12,283,Outdoor,Sydney,22,0.59,12,Bus,136.18,269,Vegetarian,283,4.17,16.13,2740.93
Séminaire,Workshop,33,1634,Office,Tokyo,19,0.46,33,Bicycle,29.71,382,Vegetarian,1634,4.02,8.29,2619.83
Formation,Seminar,32,696,Hotel,Berlin,30,1.69,32,Plane,212.48,443,Vegan,696,8.92,11.66,25080.52
Product Launch,Trade Show,29,1816,Coworking Space,New York,35,0.2,29,Train,208.42,113,Vegetarian,1816,5.07,28.5,3834.7
Product Launch,Trade Show,39,775,Office,Berlin,24,1.95,39,Bus,453.09,239,Vegetarian,775,5.11,17.45,8617.53
Networking Event,Conference,7,1986,Office,New York,22,0.59,7,Walking,215.32,54,Mixed,1986,5.68,9.26,5040.31
Réunion du Conseil,Workshop,41,1582,Hotel,Berlin,28,1.88,41,Bus,274.8,168,Non-Vegetarian,1582,5.57,5.33,9407.9
Corporate Training,Corporate Training,48,1957,Office,Paris,41,1.83,48,Plane,254.9,475,Mixed,1957,16.08,44.8,37084.36
Séminaire,Workshop,26,1890,Outdoor,Tokyo,32,1.69,26,Walking,21.34,278,Non-Vegetarian,1890,7.48,44.77,7422.54
Networking,Trade Show,37,704,Outdoor,New York,27,1.74,37,Walking,290.11,27,Mixed,704,10.74,30.5,2711.61
Team Building,Conference,24,340,Hotel,Paris,20,1.72,24,Bus,340.98,206,Vegan,340,17.39,31.37,5064.83
Formation,Team Building,39,1867,Convention Center,Dubai,26,1.37,39,Walking,397.77,113,Vegan,1867,19.99,37.42,2676.41
Réunion du Conseil,Corporate Training,34,1653,Hotel,London,34,1.62,34,Bus,198.86,161,Vegan,1653,0.83,28.86,4569.73
Lancement de Produit,Workshop,4,1058,Outdoor,New York,19,1.83,4,Car,229.52,113,Non-Vegetarian,1058,5.73,3.19,9236.89
Conference,Networking Event,25,1962,Office,Berlin,43,0.32,25,Bicycle,76.12,181,Vegetarian,1962,17.97,35.36,3221.66
Lancement de Produit,Board Meeting,22,192,Coworking Space,Sydney,39,1.12,22,Plane,210.07,415,Mixed,192,15.46,45.01,22876.18
Workshop,Conference,26,718,Outdoor,Tokyo,33,1.98,26,Train,168.06,95,Vegetarian,718,3.29,1.01,2573.65
Réunion du Conseil,Trade Show,46,1502,Coworking Space,New York,15,1.73,46,Car,391.86,284,Non-Vegetarian,1502,3.4,26.62,29284.42
Fundraiser,Networking Event,44,11,Office,Tokyo,6,0.36,44,Bus,130.99,355,Mixed,11,19.02,5.51,2914.17
Seminar,Workshop,34,662,Office,Tokyo,11,0.68,34,Plane,148.65,335,Non-Vegetarian,662,3.58,6.73,14914.22
Lancement de Produit,Fundraiser,24,830,Coworking Space,Sydney,33,1.55,24,Bicycle,408.55,459,Vegan,830,18.65,32.21,1545.52
Conference,Conference,34,1766,Outdoor,Dubai,28,0.44,34,Car,440.45,92,Mixed,1766,14.71,49.83,13263.01
Lancement de Produit,Product Launch,16,781,Office,New York,24,0.88,16,Car,297.2,433,Vegetarian,781,7.28,18.34,28416.1
Product Launch,Corporate Training,25,1133,Coworking Space,Sydney,32,0.93,25,Bus,36.77,351,Vegan,1133,10.45,41.93,2384.14
Événement de Bienfaisance,Trade Show,47,1956,Office,London,10,0.65,47,Car,152.83,271,Non-Vegetarian,1956,8.55,17.6,15748.61
Conference,Networking Event,46,343,Hotel,Dubai,47,1.8,46,Walking,262.57,82,Vegan,343,6.08,17.87,2336.7
Séminaire,Trade Show,26,1005,Outdoor,Berlin,43,0.48,26,Car,489.19,287,Non-Vegetarian,1005,12.08,2.64,33298.74
Conference,Seminar,6,249,Hotel,Berlin,20,0.62,6,Car,268.7,186,Vegetarian,249,13.24,15.53,10963.66
Séminaire,Team Building,7,1076,Office,London,14,1.26,7,Car,140.3,121,Vegan,1076,8.35,42.07,4803.6
Seminar,Product Launch,29,659,Coworking Space,London,13,1.25,29,Car,31.87,322,Vegan,659,14.84,8.44,3096.23
Corporate Training,Team Building,4,206,Hotel,Sydney,26,0.88,4,Train,88.26,93,Vegetarian,206,15.54,12.9,739.97
Corporate Training,Team Building,30,99,Coworking Space,Berlin,18,1.86,30,Walking,351.32,140,Non-Vegetarian,99,16.55,2.91,887.62
Board Meeting,Conference,14,1688,Hotel,Berlin,29,1.89,14,Train,68.52,140,Mixed,1688,19.04,41.14,5107.74
Product Launch,Board Meeting,7,83,Convention Center,Tokyo,22,0.72,7,Plane,432.52,306,Vegetarian,83,10.33,35.36,33359.1
Workshop,Conference,12,1468,Office,London,50,0.25,12,Car,338.53,89,Vegan,1468,0.53,3.37,7877.93
Corporate Training,Networking Event,28,385,Coworking Space,Berlin,47,0.44,28,Bus,266.68,462,Non-Vegetarian,385,5.17,17.5,9074.73
Réunion du Conseil,Trade Show,18,1705,Outdoor,Sydney,8,1.52,18,Bus,206.83,494,Mixed,1705,12.89,3.84,10535.84
Workshop,Fundraiser,21,1751,Hotel,London,40,0.54,21,Bus,67.4,60,Mixed,1751,13.43,10.74,4895.28
Événement de Bienfaisance,Workshop,48,897,Coworking Space,London,28,0.77,48,Bicycle,17.07,13,Vegan,897,12.05,22.54,1483.62
Networking Event,Corporate Training,1,816,Hotel,New York,49,1.75,1,Bus,343.37,303,Non-Vegetarian,816,5.48,45.16,9242.62
Team Building,Product Launch,41,100,Office,Berlin,36,1.79,41,Bicycle,337.78,373,Vegan,100,10.72,47.39,1537.24
Atelier,Seminar,27,1848,Coworking Space,Sydney,22,1.7,27,Bus,191.48,160,Non-Vegetarian,1848,2.43,1.22,8818.41
Réunion du Conseil,Networking Event,5,51,Convention Center,Sydney,7,0.78,5,Train,476.75,490,Mixed,51,14.21,4.48,9522.83
Corporate Training,Board Meeting,33,1398,Office,Tokyo,39,1.29,33,Bicycle,130.38,119,Vegetarian,1398,13.95,47.68,3050.38
Conférence,Networking Event,22,871,Coworking Space,Paris,9,1.43,22,Car,172.33,406,Vegan,871,7.3,25.83,15771.69
Lancement de Produit,Seminar,39,1341,Coworking Space,Berlin,11,1.21,39,Bus,388.57,269,Non-Vegetarian,1341,8.72,43.38,11328.76
Product Launch,Board Meeting,13,177,Hotel,Berlin,33,0.41,13,Train,71.33,445,Vegetarian,177,8.27,33.96,1707.58
Workshop,Board Meeting,3,420,Convention Center,Paris,9,1.05,3,Car,469.39,88,Mixed,420,11.93,32.98,9828.32
Formation,Conference,48,1507,Office,Paris,45,1.65,48,Bus,493.19,418,Mixed,1507,10.25,3.3,17945.81
Networking,Trade Show,34,1848,Hotel,Berlin,31,0.58,34,Bus,459.04,328,Vegan,1848,9.11,24.39,11254.57
Board Meeting,Corporate Training,41,206,Coworking Space,Dubai,44,1.49,41,Car,446.14,330,Mixed,206,16.12,36.59,32881.9
Réunion du Conseil,Corporate Training,46,1956,Outdoor,New York,13,0.22,46,Bus,444.11,256,Non-Vegetarian,1956,11.43,43.98,13844.13
Networking,Product Launch,23,246,Outdoor,Paris,21,1.23,23,Car,157.01,150,Mixed,246,5.44,49.28,5967.3
Réunion du Conseil,Corporate Training,3,1334,Hotel,Tokyo,16,0.98,3,Car,480.14,233,Vegan,1334,3.83,47.61,24953.65
Événement de Bienfaisance,Seminar,28,1109,Outdoor,New York,30,0.5,28,Train,279.68,151,Mixed,1109,6.55,23.19,4731.25
Board Meeting,Conference,47,702,Office,Berlin,45,0.93,47,Bicycle,18.89,467,Non-Vegetarian,702,15.15,22.12,3515.01
Workshop,Team Building,44,251,Outdoor,Berlin,18,0.47,44,Walking,21.53,343,Non-Vegetarian,251,7.05,5.54,1089.8
Lancement de Produit,Product Launch,9,227,Convention Center,New York,50,0.93,9,Bus,34.09,186,Vegan,227,15.8,11.22,870.73
Conférence,Product Launch,30,614,Hotel,Berlin,8,1.41,30,Train,244.35,385,Non-Vegetarian,614,19.46,43.91,6207.93
Réunion du Conseil,Conference,33,1454,Office,Berlin,44,1.19,33,Bicycle,27.24,100,Non-Vegetarian,1454,11.94,31.46,6039.74
Team Building,Workshop,16,1169,Hotel,Berlin,20,1.95,16,Bus,384.82,369,Mixed,1169,7.28,24.89,11818.75
Corporate Training,Conference,39,1979,Hotel,Dubai,35,1.07,39,Bicycle,45.34,345,Non-Vegetarian,1979,12.92,21.01,7724.63
Workshop,Team Building,21,464,Hotel,Tokyo,33,0.51,21,Bicycle,191.9,35,Vegetarian,464,12.56,45.27,988.38
Atelier,Seminar,16,651,Hotel,Berlin,15,1.92,16,Bicycle,459.35,267,Non-Vegetarian,651,19.27,7.27,2561.98
Product Launch,Conference,2,271,Hotel,New York,18,1.58,2,Car,180.26,237,Vegan,271,8.66,42.98,9374.26
Corporate Training,Trade Show,23,1858,Outdoor,Dubai,47,0.56,23,Car,456.0,256,Vegetarian,1858,19.89,36.32,27716.66
Événement de Bienfaisance,Conference,12,1340,Coworking Space,London,37,1.26,12,Train,459.21,144,Vegan,1340,3.34,41.18,4353.81
Trade Show,Product Launch,19,574,Convention Center,Paris,23,0.26,19,Plane,149.63,14,Non-Vegetarian,574,8.14,45.77,2697.34
Séminaire,Corporate Training,42,1091,Office,London,15,1.75,42,Bus,23.55,285,Vegan,1091,5.69,28.37,2113.07
Événement de Bienfaisance,Product Launch,9,61,Convention Center,Sydney,25,0.18,9,Train,324.01,288,Vegetarian,61,17.12,5.7,3889.99
Lancement de Produit,Seminar,37,1022,Convention Center,Tokyo,39,0.33,37,Car,272.86,248,Vegan,1022,3.64,4.71,15487.34
Product Launch,Team Building,25,147,Office,Paris,5,1.14,25,Plane,236.56,393,Non-Vegetarian,147,12.44,41.53,23935.71
Événement de Bienfaisance,Networking Event,13,280,Outdoor,Berlin,25,1.65,13,Walking,129.72,496,Vegan,280,13.43,36.22,647.42
Seminar,Workshop,41,1611,Office,London,24,1.3,41,Bus,46.39,144,Mixed,1611,10.5,1.63,5092.17
Workshop,Product Launch,38,1818,Outdoor,Berlin,7,1.81,38,Walking,181.62,195,Non-Vegetarian,1818,10.88,14.19,6653.87
Lancement de Produit,Trade Show,26,1820,Convention Center,Paris,30,0.44,26,Bicycle,256.99,269,Vegan,1820,3.88,30.77,2060.9
Seminar,Seminar,5,421,Office,Dubai,15,1.81,5,Bus,186.99,441,Vegan,421,5.45,10.67,5468.87
Formation,Team Building,37,1942,Outdoor,New York,44,1.96,37,Walking,179.29,338,Non-Vegetarian,1942,3.11,39.21,8477.08
Séminaire,Workshop,44,953,Hotel,New York,21,0.33,44,Walking,211.48,51,Non-Vegetarian,953,11.73,38.3,3588.02
Conférence,Fundraiser,39,1697,Hotel,Berlin,48,1.97,39,Bus,446.48,99,Vegetarian,1697,13.96,25.68,7120.79
Product Launch,Conference,1,1480,Hotel,Tokyo,44,0.93,1,Bicycle,233.01,341,Vegetarian,1480,17.26,37.74,2350.46
Événement de Bienfaisance,Product Launch,29,392,Convention Center,Tokyo,25,0.29,29,Train,244.94,277,Vegetarian,392,10.22,1.0,3429.5
Formation,Fundraiser,37,1853,Hotel,Berlin,36,0.31,37,Bus,39.43,108,Mixed,1853,19.77,38.0,5210.01
Formation,Trade Show,3,1293,Office,Sydney,5,1.75,3,Car,384.06,74,Non-Vegetarian,1293,2.55,7.11,10526.24
Formation,Fundraiser,32,215,Outdoor,New York,35,0.13,32,Car,444.44,483,Mixed,215,6.92,18.97,45741.63
Réunion du Conseil,Team Building,35,1485,Convention Center,Paris,6,0.69,35,Plane,77.23,281,Vegan,1485,19.72,40.9,7104.1
Seminar,Fundraiser,2,1752,Coworking Space,Sydney,30,1.14,2,Train,228.43,370,Vegan,1752,11.24,45.14,5279.72
Fundraiser,Product Launch,9,1840,Office,Tokyo,35,1.18,9,Car,209.28,280,Vegetarian,1840,14.4,41.31,15362.93
Corporate Training,Board Meeting,37,1125,Office,London,15,1.73,37,Train,59.12,460,Non-Vegetarian,1125,13.23,27.98,5587.8
Seminar,Team Building,45,857,Office,New York,38,1.8,45,Train,430.54,448,Vegan,857,15.9,30.86,10204.8
Atelier,Conference,8,637,Office,Berlin,42,0.99,8,Plane,198.36,216,Non-Vegetarian,637,10.32,8.62,13145.14
Seminar,Board Meeting,12,1614,Convention Center,Paris,22,0.7,12,Car,85.98,495,Vegetarian,1614,14.78,34.95,11550.48
Atelier,Seminar,41,1059,Coworking Space,New York,25,1.98,41,Car,198.71,236,Vegan,1059,5.59,3.56,11940.12
Workshop,Conference,43,1313,Hotel,London,7,0.37,43,Train,200.26,75,Vegetarian,1313,6.86,29.81,2699.31
Workshop,Product Launch,29,244,Coworking Space,Tokyo,49,1.75,29,Car,405.33,211,Mixed,244,5.65,15.24,19855.33
Product Launch,Workshop,42,894,Hotel,London,28,1.99,42,Train,152.04,23,Vegetarian,894,10.85,6.61,2685.92
Trade Show,Corporate Training,21,1250,Outdoor,Berlin,39,1.79,21,Walking,471.32,382,Non-Vegetarian,1250,19.68,43.17,5233.7
Réunion du Conseil,Fundraiser,48,909,Office,Paris,29,1.54,48,Plane,110.88,246,Non-Vegetarian,909,6.18,12.19,11109.2
Lancement de Produit,Seminar,39,302,Hotel,Tokyo,42,1.45,39,Bus,395.0,491,Vegetarian,302,3.93,21.63,13328.37
Conférence,Team Building,29,1971,Convention Center,Dubai,50,1.55,29,Train,412.52,61,Vegan,1971,12.66,35.04,4196.7
Conference,Networking Event,29,1922,Convention Center,London,44,0.97,29,Bus,276.5,215,Vegetarian,1922,9.83,40.85,7170.07
Team Building,Team Building,6,1635,Coworking Space,Paris,16,0.9,6,Bus,12.74,178,Mixed,1635,2.86,28.31,4329.1
Conference,Trade Show,41,1788,Outdoor,Sydney,44,0.79,41,Car,4.06,475,Non-Vegetarian,1788,1.63,26.01,7430.85
Team Building,Networking Event,20,1127,Outdoor,Sydney,7,1.81,20,Train,225.18,178,Vegan,1127,10.68,9.93,2898.2
Fundraiser,Seminar,1,611,Coworking Space,New York,15,1.3,1,Train,345.7,124,Vegan,611,19.94,46.29,2467.88
Board Meeting,Networking Event,13,237,Office,Tokyo,28,1.13,13,Walking,217.15,382,Mixed,237,17.29,31.01,894.76
Fundraiser,Conference,20,1983,Coworking Space,London,18,0.2,20,Train,475.54,104,Vegan,1983,19.11,7.31,4050.09
Workshop,Team Building,29,499,Coworking Space,Berlin,26,0.76,29,Car,183.01,354,Vegetarian,499,4.2,9.97,14668.32
Atelier,Trade Show,16,1672,Convention Center,London,32,0.56,16,Walking,235.5,283,Vegetarian,1672,15.22,16.37,2714.54
Réunion du Conseil,Seminar,22,1487,Hotel,Sydney,10,1.16,22,Car,453.74,373,Non-Vegetarian,1487,10.8,2.36,40899.87
Formation,Seminar,28,1893,Convention Center,Dubai,42,0.18,28,Walking,339.59,97,Vegan,1893,6.49,39.97,2091.76
Networking,Seminar,34,477,Outdoor,New York,27,1.63,34,Car,153.13,288,Vegetarian,477,4.89,20.36,10775.47
Board Meeting,Product Launch,47,1005,Coworking Space,Dubai,49,0.78,47,Bus,225.08,86,Vegetarian,1005,19.87,28.92,3664.66
Lancement de Produit,Fundraiser,15,1884,Office,Dubai,7,0.62,15,Bus,144.74,259,Vegetarian,1884,4.76,39.59,5196.51
Événement de Bienfaisance,Board Meeting,12,675,Hotel,Berlin,46,0.53,12,Bus,181.43,291,Vegetarian,675,0.69,23.89,4375.71
Réunion du Conseil,Networking Event,21,1733,Convention Center,London,11,0.35,21,Bicycle,338.87,115,Vegan,1733,12.35,24.83,1847.78
Product Launch,Conference,14,310,Convention Center,Tokyo,24,0.68,14,Bus,375.19,247,Mixed,310,18.06,23.05,6531.78
Conference,Seminar,38,999,Hotel,Paris,36,0.7,38,Bicycle,136.9,246,Mixed,999,0.61,32.43,3042.38
Board Meeting,Product Launch,41,1198,Outdoor,Tokyo,25,1.75,41,Plane,233.08,424,Mixed,1198,9.68,25.1,28667.92
Seminar,Seminar,12,1071,Hotel,Sydney,28,0.91,12,Plane,120.7,428,Non-Vegetarian,1071,0.86,35.15,16888.3
Séminaire,Fundraiser,8,874,Office,Sydney,26,1.46,8,Bus,401.77,237,Vegetarian,874,2.18,34.8,7249.97
Lancement de Produit,Corporate Training,11,1907,Outdoor,Berlin,22,1.66,11,Bus,380.61,469,Non-Vegetarian,1907,2.5,27.09,17644.91
Corporate Training,Seminar,44,525,Coworking Space,Berlin,24,1.28,44,Bicycle,399.17,495,Mixed,525,7.02,2.96,2008.3
Corporate Training,Fundraiser,42,1918,Outdoor,London,41,0.8,42,Plane,61.32,243,Mixed,1918,19.37,9.26,9266.25
Réunion du Conseil,Fundraiser,32,426,Convention Center,New York,15,1.39,32,Walking,357.32,387,Vegan,426,5.65,13.73,798.36
Atelier,Board Meeting,24,1133,Outdoor,Berlin,16,0.73,24,Bus,318.08,470,Vegan,1133,18.41,24.32,10328.48
Séminaire,Conference,5,1895,Outdoor,Dubai,48,0.73,5,Walking,421.44,417,Vegetarian,1895,12.28,29.57,3013.8
Team Building,Team Building,5,1765,Convention Center,Berlin,37,0.5,5,Car,86.78,181,Vegetarian,1765,13.61,11.77,6043.02
Networking Event,Workshop,36,176,Convention Center,Tokyo,50,1.23,36,Train,257.44,41,Vegan,176,8.62,38.02,1798.48
Fundraiser,Networking Event,27,1363,Coworking Space,London,36,1.4,27,Car,498.78,203,Non-Vegetarian,1363,4.93,23.9,26771.55
Corporate Training,Fundraiser,27,966,Hotel,Tokyo,49,0.47,27,Walking,283.36,375,Vegetarian,966,8.3,15.58,1807.66
Team Building,Product Launch,32,1411,Outdoor,Dubai,47,1.05,32,Bus,216.61,386,Vegetarian,1411,16.24,40.55,8036.37
Événement de Bienfaisance,Workshop,33,338,Convention Center,New York,17,0.35,33,Bicycle,338.08,238,Vegan,338,6.98,23.52,497.17
Networking Event,Conference,19,1836,Office,London,6,0.45,19,Bicycle,385.47,49,Mixed,1836,3.95,17.41,4658.37
Product Launch,Seminar,17,827,Outdoor,Berlin,36,1.9,17,Car,386.94,313,Mixed,827,17.17,24.93,28166.67
Conférence,Fundraiser,41,1659,Convention Center,Berlin,35,0.75,41,Plane,132.01,386,Mixed,1659,18.02,36.44,17533.51
Networking Event,Fundraiser,46,1481,Office,London,31,1.85,46,Train,475.09,314,Vegetarian,1481,7.59,17.28,9557.42
Conference,Fundraiser,2,1611,Hotel,Sydney,17,1.14,2,Bus,249.57,198,Mixed,1611,18.65,49.02,7147.11
Networking,Board Meeting,19,1283,Coworking Space,Dubai,38,1.9,19,Train,387.78,236,Vegetarian,1283,1.15,14.84,6303.02
Trade Show,Fundraiser,41,930,Outdoor,Dubai,42,1.43,41,Bus,429.22,307,Mixed,930,18.39,45.28,11589.8
Atelier,Conference,25,1852,Convention Center,London,30,1.58,25,Walking,237.41,137,Non-Vegetarian,1852,8.64,17.38,7126.54
Conférence,Product Launch,45,1713,Convention Center,Paris,22,0.71,45,Plane,330.56,10,Mixed,1713,18.75,44.91,5587.67
Réunion du Conseil,Fundraiser,36,28,Outdoor,Dubai,16,1.4,36,Walking,233.04,282,Vegetarian,28,16.28,49.13,576.02
Atelier,Workshop,14,1468,Outdoor,Tokyo,6,1.52,14,Walking,101.68,418,Non-Vegetarian,1468,7.52,4.16,5225.2
Atelier,Corporate Training,30,708,Coworking Space,Dubai,46,0.22,30,Car,93.57,359,Non-Vegetarian,708,14.26,1.77,9716.1
Séminaire,Product Launch,26,76,Hotel,Paris,24,0.12,26,Car,369.31,270,Non-Vegetarian,76,5.78,17.01,21288.9
Trade Show,Conference,11,300,Convention Center,Dubai,29,0.95,11,Bus,310.09,279,Mixed,300,19.25,36.81,6204.55
Fundraiser,Product Launch,2,1303,Coworking Space,Paris,10,1.84,2,Train,427.2,50,Vegan,1303,3.71,49.63,2282.48
Conference,Conference,15,38,Outdoor,London,20,0.17,15,Train,124.13,105,Vegan,38,12.15,43.79,696.73
Networking,Team Building,15,1340,Hotel,London,16,0.39,15,Bus,311.83,239,Vegetarian,1340,7.74,17.38,6578.68
Séminaire,Product Launch,6,1636,Convention Center,New York,47,0.93,6,Plane,311.64,265,Vegan,1636,5.15,15.91,22455.4
Formation,Seminar,43,933,Hotel,New York,27,0.79,43,Car,448.91,326,Vegan,933,16.13,22.85,32201.93
Networking,Trade Show,5,325,Hotel,Sydney,47,0.47,5,Car,66.95,452,Vegan,325,16.95,33.7,6836.42
Formation,Workshop,13,140,Outdoor,London,7,1.79,13,Car,222.67,143,Vegetarian,140,13.84,40.82,7087.55
Trade Show,Networking Event,43,332,Hotel,Paris,47,1.42,43,Walking,261.19,298,Vegetarian,332,15.8,46.98,2058.47
Formation,Team Building,6,412,Convention Center,Berlin,6,1.95,6,Plane,294.23,324,Vegan,412,14.14,49.43,24406.87
Trade Show,Corporate Training,39,1677,Hotel,New York,16,1.09,39,Walking,65.9,75,Vegetarian,1677,7.93,23.52,2918.48
Événement de Bienfaisance,Board Meeting,33,1024,Office,Tokyo,29,0.17,33,Bus,212.61,450,Mixed,1024,9.67,27.71,8456.58
Team Building,Conference,48,712,Hotel,Tokyo,26,1.8,48,Walking,305.18,309,Mixed,712,4.48,26.4,2964.96
Formation,Conference,40,781,Office,Dubai,33,1.37,40,Bicycle,7.4,215,Vegetarian,781,5.45,6.8,2100.2
Trade Show,Team Building,3,1322,Hotel,Dubai,47,1.74,3,Bus,166.18,311,Vegetarian,1322,10.57,48.82,5325.37
Networking Event,Workshop,29,354,Convention Center,Berlin,33,0.43,29,Bicycle,355.3,352,Mixed,354,16.47,11.19,1146.08
Conférence,Trade Show,17,712,Outdoor,Paris,25,0.21,17,Bicycle,257.99,281,Non-Vegetarian,712,13.26,41.78,2646.7
Lancement de Produit,Trade Show,24,1452,Convention Center,Dubai,14,0.46,24,Car,39.7,418,Vegetarian,1452,15.85,30.75,5833.35
Networking,Conference,38,1095,Office,Tokyo,47,0.53,38,Walking,185.05,219,Non-Vegetarian,1095,15.47,26.66,4390.05
Atelier,Trade Show,33,721,Office,London,33,1.47,33,Walking,57.73,232,Vegan,721,13.13,23.3,1594.27
Seminar,Trade Show,7,309,Convention Center,Dubai,43,0.16,7,Walking,296.12,253,Non-Vegetarian,309,18.93,16.46,1176.36
Networking,Seminar,14,832,Office,Paris,6,0.51,14,Walking,119.83,124,Non-Vegetarian,832,12.34,45.0,3048.1
Séminaire,Corporate Training,7,580,Hotel,Berlin,13,1.7,7,Train,359.19,251,Vegan,580,17.99,26.44,4352.48
Lancement de Produit,Fundraiser,20,725,Hotel,Tokyo,43,0.47,20,Walking,1.62,490,Mixed,725,16.27,24.73,2096.6
Atelier,Fundraiser,9,800,Convention Center,Berlin,27,0.77,9,Plane,332.75,452,Vegan,800,8.51,2.71,38516.75
Réunion du Conseil,Trade Show,23,738,Outdoor,Tokyo,22,0.89,23,Bus,440.96,134,Vegan,738,3.36,25.64,4566.49
Fundraiser,Workshop,29,55,Coworking Space,Tokyo,14,1.8,29,Train,31.64,138,Vegan,55,1.42,42.99,683.87
Fundraiser,Conference,25,489,Outdoor,Sydney,15,0.87,25,Car,251.82,483,Vegan,489,2.16,23.53,26245.61
Atelier,Workshop,16,1485,Outdoor,Tokyo,26,0.7,16,Car,127.29,35,Vegetarian,1485,19.82,40.9,3430.12
Networking,Conference,14,981,Office,New York,22,1.07,14,Car,8.1,58,Non-Vegetarian,981,9.34,43.27,3802.16
Corporate Training,Trade Show,23,1371,Convention Center,New York,16,1.07,23,Bicycle,485.06,179,Mixed,1371,1.93,20.21,3668.66
Corporate Training,Workshop,48,1011,Coworking Space,Paris,16,1.48,48,Car,446.85,491,Vegetarian,1011,14.65,44.08,48276.98
Réunion du Conseil,Networking Event,10,605,Office,Sydney,30,0.47,10,Plane,126.57,209,Vegan,605,17.69,37.12,7398.4
Networking Event,Workshop,38,1031,Coworking Space,Paris,44,0.69,38,Car,290.97,342,Non-Vegetarian,1031,13.65,35.81,25181.73
Team Building,Board Meeting,13,1443,Coworking Space,Dubai,32,1.18,13,Bicycle,241.91,484,Non-Vegetarian,1443,10.5,41.99,5400.92
Formation,Trade Show,28,908,Outdoor,New York,16,0.81,28,Car,130.97,50,Mixed,908,5.2,22.58,3882.18
Événement de Bienfaisance,Trade Show,37,954,Convention Center,Paris,46,1.71,37,Walking,292.32,188,Non-Vegetarian,954,2.86,38.51,4876.95
Lancement de Produit,Product Launch,4,1841,Outdoor,Berlin,31,0.26,4,Bicycle,234.32,40,Non-Vegetarian,1841,17.85,8.29,6511.9
Conference,Corporate Training,40,849,Outdoor,Berlin,23,0.62,40,Plane,265.38,126,Vegetarian,849,17.58,48.41,10050.15
Trade Show,Conference,7,1313,Convention Center,London,39,0.52,7,Train,355.84,420,Vegetarian,1313,18.45,46.91,8149.31
Networking Event,Fundraiser,45,1301,Office,London,42,0.55,45,Train,282.0,89,Vegan,1301,6.89,12.61,2863.67
Atelier,Workshop,41,1693,Convention Center,Berlin,47,1.34,41,Bus,383.99,277,Mixed,1693,2.27,25.64,11961.32
Formation,Workshop,2,1260,Coworking Space,Tokyo,47,0.43,2,Plane,158.66,110,Mixed,1260,8.63,34.83,7620.28
Product Launch,Corporate Training,46,876,Office,Sydney,14,0.76,46,Train,180.53,96,Vegetarian,876,12.53,30.97,2338.96
Formation,Networking Event,20,1321,Convention Center,Paris,10,1.97,20,Walking,398.94,175,Mixed,1321,4.73,20.93,3550.82
Fundraiser,Trade Show,37,1025,Office,Sydney,7,0.67,37,Car,9.33,326,Non-Vegetarian,1025,18.67,30.42,4411.18
Conférence,Workshop,1,573,Hotel,London,46,0.23,1,Bus,496.91,28,Non-Vegetarian,573,12.79,44.45,2960.08
Réunion du Conseil,Workshop,13,1617,Coworking Space,Berlin,50,0.17,13,Plane,211.87,419,Vegan,1617,15.2,23.75,23943.53
Fundraiser,Workshop,24,273,Convention Center,Sydney,10,0.44,24,Bus,348.83,484,Vegan,273,17.63,40.56,10572.2
Conférence,Seminar,43,1218,Coworking Space,Sydney,16,0.34,43,Plane,128.4,297,Non-Vegetarian,1218,11.68,39.72,14016.46
Événement de Bienfaisance,Networking Event,2,536,Outdoor,Dubai,5,1.97,2,Walking,60.81,371,Non-Vegetarian,536,10.93,5.06,1917.83
Networking Event,Networking Event,11,1862,Office,Tokyo,41,1.08,11,Plane,497.26,388,Vegetarian,1862,19.86,30.98,51372.44
